Date,Open,High,Low,Close,Adj Close,Volume
20190617,22500.00,22500.00,22500.00,22500.00,22500.00,200000000
20190618,23625.00,23625.00,23625.00,23625.00,23426.00,365904
20190619,24597.00,24597.00,24597.00,24597.00,24597.00,8067733
20190624,30000.00,31000.00,28500.00,29399.00,29579.00,35476160
20190625,28320.00,29250.00,28101.00,28108.00,28345.00,21065215
20190626,28000.00,29500.00,27999.00,28661.00,28529.00,29227967
20190630,28895.00,28895.00,27800.00,27875.00,28174.00,14874614
20190701,27501.00,27950.00,27000.00,27320.00,27256.00,12016146
20190702,27306.00,28195.00,27300.00,27880.00,27577.00,8669950
20190703,27994.00,28412.00,27803.00,27890.00,27976.00,6466293
20190706,27900.00,27900.00,27001.00,27047.00,27143.00,6742298
20190707,27001.00,27220.00,26802.00,27161.00,27022.00,5632324
20190708,27100.00,27100.00,27000.00,27010.00,27037.00,6142395
20190709,26700.00,26730.00,26200.00,26400.00,26407.00,9345260
20190710,26105.00,26330.00,26002.00,26213.00,26096.00,9705642
20190713,26000.00,26200.00,25551.00,26003.00,25739.00,12457854
20190714,26400.00,27025.00,26332.00,27025.00,26900.00,3455051
20190715,27932.00,27991.00,26640.00,26800.00,27302.00,7452808
20190716,26700.00,26700.00,25937.00,26502.00,26239.00,8125349
20190717,26072.00,27222.00,26072.00,26996.00,26849.00,4152000
20190720,27000.00,27101.00,26505.00,26700.00,26665.00,4929441
20190721,26550.00,27898.00,26550.00,27731.00,27537.00,6859635
20190722,28913.00,28913.00,28501.00,28913.00,28866.00,7422780
20190723,29006.00,29480.00,28061.00,28950.00,28850.00,10743156
20190724,29006.00,29006.00,28461.00,28805.00,28775.00,5307134
20190727,28759.00,28759.00,28047.00,28134.00,28258.00,4780075
20190728,28010.00,28100.00,27554.00,27671.00,27698.00,3475246
20190729,27666.00,28100.00,27485.00,27700.00,27726.00,3397109
20190730,27726.00,28100.00,27723.00,27800.00,27874.00,4290006
20190731,27900.00,28200.00,27700.00,28080.00,27967.00,3280164
20190803,27930.00,28080.00,27730.00,27932.00,27883.00,3270460
20190804,27900.00,27932.00,27506.00,27710.00,27667.00,4118693
20190805,27600.00,27650.00,27231.00,27313.00,27362.00,3055073
20190806,27400.00,27400.00,27010.00,27111.00,27069.00,2863190
20190807,27000.00,27270.00,26900.00,27152.00,27016.00,2238022
20190810,27000.00,27010.00,26680.00,26800.00,26802.00,2605756
20190811,26767.00,27248.00,26751.00,26905.00,26983.00,1434583
20190813,27003.00,28061.00,26911.00,27990.00,27407.00,3242545
20190814,28080.00,28080.00,27500.00,27523.00,27666.00,1951614
20190817,27554.00,27554.00,27125.00,27132.00,27236.00,2153075
20190818,27011.00,27400.00,26998.00,27249.00,27075.00,2350200
20190819,27225.00,27500.00,27003.00,27305.00,27229.00,1890399
20190821,27430.00,27800.00,27230.00,27600.00,27403.00,3560125
20190824,27485.00,28050.00,27272.00,28011.00,27825.00,4072154
20190825,28000.00,28100.00,27800.00,28010.00,27941.00,4529084
20190826,28139.00,29338.00,28000.00,29000.00,28806.00,9011182
20190827,29301.00,29330.00,28300.00,28332.00,28688.00,3687333
20190828,28290.00,28700.00,27969.00,28360.00,28220.00,2321522
20190831,28105.00,28577.00,28101.00,28110.00,28320.00,2882716
20190901,28100.00,28214.00,27811.00,28038.00,28000.00,1979929
20190902,28305.00,28305.00,27284.00,27809.00,27816.00,3453005
20190903,27850.00,29000.00,27702.00,28600.00,28222.00,5203424
20190904,28300.00,28600.00,28300.00,28520.00,28502.00,5152162
20190907,28500.00,28988.00,28450.00,28728.00,28662.00,2914970
20190908,28990.00,28990.00,28503.00,28694.00,28661.00,2899660
20190911,28701.00,28720.00,28471.00,28496.00,28579.00,2156537
20190914,28500.00,28500.00,28300.00,28313.00,28368.00,3051740
20190915,28261.00,28300.00,27995.00,28141.00,28139.00,2061631
20190916,28310.00,28900.00,28200.00,28430.00,28591.00,2558553
20190917,28222.00,28541.00,27980.00,28000.00,28200.00,2547222
20190918,27900.00,27900.00,27070.00,27502.00,27391.00,1897295
20190921,27825.00,27900.00,27220.00,27700.00,27608.00,1760343
20190922,27540.00,28988.00,27540.00,28988.00,28521.00,5071573
20190923,29390.00,29947.00,29300.00,29947.00,29890.00,4646057
20190924,30990.00,30995.00,29102.00,29800.00,30187.00,6410931
20190925,29800.00,30515.00,29690.00,30225.00,30125.00,2848071
20190928,30000.00,30249.00,29611.00,29905.00,29907.00,3340503
20190929,29580.00,29950.00,28521.00,29400.00,29028.00,3488488
20190930,29312.00,29948.00,29312.00,29540.00,29755.00,3640015
20191001,29998.00,30000.00,28500.00,28755.00,29220.00,3250875
20191002,28749.00,29190.00,28403.00,28848.00,28806.00,1879399
20191005,28510.00,28900.00,28212.00,28250.00,28540.00,2535780
20191006,28201.00,28901.00,27856.00,28699.00,28293.00,2104777
20191007,28210.00,29000.00,28200.00,28620.00,28570.00,2170417
20191008,29000.00,29000.00,27820.00,28198.00,28339.00,3473406
20191009,27900.00,28499.00,27850.00,28450.00,28126.00,1050613
20191012,28651.00,29532.00,28651.00,29532.00,29277.00,2854560
20191013,29785.00,30100.00,28751.00,28800.00,29403.00,2488184
20191014,28798.00,28798.00,28000.00,28112.00,28348.00,2215435
20191015,28102.00,28500.00,26951.00,27448.00,27144.00,2749117
20191016,27100.00,28100.00,27050.00,27452.00,27474.00,1147405
20191020,27980.00,27980.00,26600.00,27010.00,26885.00,2830402
20191021,26710.00,27300.00,26641.00,27300.00,27095.00,1124241
20191022,27800.00,27997.00,27301.00,27700.00,27617.00,704872
20191023,28000.00,28000.00,26910.00,27000.00,27111.00,2324006
20191026,27400.00,27600.00,26811.00,27299.00,27094.00,708496
20191028,27010.00,27600.00,27010.00,27488.00,27352.00,890651
20191030,25985.00,27700.00,25985.00,27261.00,27290.00,1506999
