Date,Open,High,Low,Close,Adj Close,Volume
20110802,1600.00,1990.00,1400.00,1850.00,1593.00,4936804
20110803,1672.00,1672.00,1672.00,1672.00,1672.00,6109
20110806,1755.00,1755.00,1755.00,1755.00,1755.00,40000
20110807,1842.00,1842.00,1840.00,1842.00,1842.00,3782013
20110808,1860.00,1918.00,1790.00,1810.00,1861.00,1263661
20110809,1840.00,1850.00,1768.00,1780.00,1789.00,1082040
20110810,1790.00,1849.00,1701.00,1751.00,1765.00,589415
20110813,1800.00,1853.00,1760.00,1853.00,1844.00,1362259
20110814,1853.00,1853.00,1752.00,1759.00,1775.00,437050
20110815,1704.00,1806.00,1690.00,1713.00,1745.00,331449
20110816,1758.00,1813.00,1691.00,1800.00,1773.00,930689
20110817,1800.00,1808.00,1755.00,1799.00,1781.00,331266
20110820,1755.00,1755.00,1700.00,1701.00,1712.00,204479
20110821,1640.00,1780.00,1640.00,1731.00,1764.00,375829
20110823,1778.00,1831.00,1778.00,1790.00,1813.00,401591
20110824,1828.00,1860.00,1791.00,1791.00,1836.00,729589
20110827,1856.00,1856.00,1764.00,1820.00,1805.00,530586
20110828,1715.00,1800.00,1715.00,1800.00,1772.00,565301
20110829,1733.00,1760.00,1684.00,1711.00,1711.00,219948
20110830,1721.00,1768.00,1701.00,1720.00,1723.00,288455
20110903,1785.00,1785.00,1690.00,1750.00,1742.00,225000
20110904,1769.00,1780.00,1722.00,1769.00,1758.00,579500
20110905,1716.00,1758.00,1700.00,1745.00,1729.00,348130
20110906,1729.00,1815.00,1729.00,1790.00,1790.00,804459
20110907,1800.00,1800.00,1716.00,1785.00,1784.00,929468
20110910,1795.00,1795.00,1770.00,1776.00,1779.00,57389
20110911,1790.00,1798.00,1723.00,1775.00,1782.00,581981
20110912,1790.00,1794.00,1742.00,1787.00,1780.00,207169
20110913,1747.00,1800.00,1747.00,1780.00,1791.00,197901
20110914,1800.00,1848.00,1800.00,1833.00,1821.00,173000
20110917,1835.00,1912.00,1835.00,1851.00,1891.00,435940
20110918,1980.00,1980.00,1797.00,1797.00,1829.00,328958
20110919,1849.00,1850.00,1761.00,1850.00,1843.00,206942
20110921,1856.00,1856.00,1770.00,1775.00,1783.00,38567
20110925,1760.00,1760.00,1721.00,1721.00,1744.00,25655
20110926,1819.00,1819.00,1685.00,1700.00,1708.00,143208
20110927,1700.00,1740.00,1700.00,1715.00,1716.00,175100
20110928,1748.00,1748.00,1700.00,1710.00,1716.00,54020
20111001,1720.00,1720.00,1631.00,1631.00,1673.00,335115
20111002,1647.00,1660.00,1647.00,1658.00,1656.00,47552
20111003,1700.00,1700.00,1650.00,1650.00,1657.00,91000
20111004,1600.00,1685.00,1575.00,1650.00,1608.00,133012
20111005,1640.00,1640.00,1620.00,1620.00,1622.00,30226
20111008,1650.00,1679.00,1600.00,1600.00,1613.00,133100
20111009,1620.00,1620.00,1550.00,1550.00,1568.00,201617
20111010,1600.00,1600.00,1550.00,1552.00,1551.00,14402
20111011,1552.00,1580.00,1552.00,1580.00,1569.00,57648
20111012,1561.00,1570.00,1550.00,1550.00,1557.00,16000
20111015,1550.00,1550.00,1480.00,1480.00,1500.00,90364
20111016,1451.00,1530.00,1425.00,1440.00,1426.00,331957
20111017,1440.00,1476.00,1439.00,1470.00,1459.00,18013
20111018,1471.00,1529.00,1471.00,1517.00,1508.00,76575
20111019,1525.00,1525.00,1500.00,1500.00,1523.00,10548
20111022,1524.00,1524.00,1447.00,1447.00,1448.00,60447
20111023,1440.00,1447.00,1400.00,1439.00,1420.00,42694
20111024,1491.00,1491.00,1371.00,1401.00,1427.00,91663
20111025,1487.00,1490.00,1457.00,1457.00,1479.00,122500
20111026,1490.00,1550.00,1490.00,1515.00,1503.00,188837
20111029,1429.00,1536.00,1428.00,1497.00,1431.00,3702026
20111030,1450.00,1486.00,1380.00,1400.00,1409.00,439601
20111031,1400.00,1439.00,1400.00,1437.00,1407.00,37294
20111101,1462.00,1462.00,1411.00,1443.00,1416.00,57010
20111102,1450.00,1486.00,1421.00,1486.00,1473.00,446830
20111105,1546.00,1546.00,1509.00,1520.00,1542.00,771896
20111106,1570.00,1594.00,1471.00,1504.00,1519.00,83852
20111108,1500.00,1538.00,1453.00,1456.00,1461.00,138422
20111109,1529.00,1529.00,1491.00,1500.00,1498.00,158279
20111112,1530.00,1566.00,1498.00,1498.00,1518.00,34946
20111113,1459.00,1500.00,1443.00,1487.00,1468.00,178233
20111114,1495.00,1495.00,1481.00,1495.00,1494.00,81397
20111116,1494.00,1495.00,1461.00,1461.00,1464.00,62698
20111119,1494.00,1494.00,1450.00,1493.00,1469.00,130910
20111120,1497.00,1497.00,1430.00,1464.00,1445.00,183961
20111121,1435.00,1458.00,1435.00,1455.00,1446.00,37262
20111122,1458.00,1458.00,1403.00,1403.00,1404.00,18599
20111123,1408.00,1408.00,1391.00,1408.00,1403.00,154201
20111126,1410.00,1410.00,1400.00,1400.00,1401.00,49900
20111127,1428.00,1428.00,1331.00,1331.00,1356.00,97560
20111128,1289.00,1423.00,1289.00,1289.00,1291.00,461130
20111129,1354.00,1354.00,1351.00,1351.00,1352.00,15000
20111130,1301.00,1301.00,1285.00,1285.00,1293.00,100680
20111203,1344.00,1344.00,1262.00,1297.00,1301.00,42020
20111204,1325.00,1354.00,1252.00,1301.00,1311.00,1281742
20111207,1376.00,1376.00,1331.00,1376.00,1347.00,2345800
20111210,1412.00,1412.00,1310.00,1310.00,1354.00,160129
20111211,1381.00,1381.00,1287.00,1289.00,1289.00,220184
20111212,1285.00,1305.00,1232.00,1305.00,1296.00,85230
20111213,1323.00,1329.00,1298.00,1298.00,1303.00,57160
20111214,1247.00,1313.00,1247.00,1313.00,1282.00,59530
20111217,1337.00,1337.00,1300.00,1336.00,1313.00,17420
20111218,1254.00,1358.00,1254.00,1358.00,1320.00,40400
20111219,1360.00,1360.00,1322.00,1339.00,1326.00,3729740
20111220,1290.00,1320.00,1290.00,1320.00,1305.00,653830
20111221,1290.00,1299.00,1290.00,1290.00,1298.00,850000
20111224,1360.00,1362.00,1360.00,1362.00,1362.00,2520292
20111225,1430.00,1430.00,1430.00,1430.00,1430.00,31310
20111226,1501.00,1501.00,1500.00,1501.00,1501.00,9718042
20111227,1510.00,1570.00,1471.00,1536.00,1521.00,1724099
20111228,1550.00,1578.00,1541.00,1542.00,1569.00,300252
20111231,1575.00,1575.00,1491.00,1496.00,1507.00,2209949
20120101,1555.00,1555.00,1510.00,1520.00,1521.00,259460
20120313,1560.00,2199.00,1454.00,1470.00,1544.00,8780386
20120314,1555.00,1557.00,1467.00,1547.00,1517.00,1826990
20120317,1500.00,1520.00,1459.00,1519.00,1503.00,843100
20120318,1519.00,1519.00,1450.00,1497.00,1492.00,336000
20120324,1519.00,1543.00,1481.00,1481.00,1517.00,163652
20120325,1461.00,1522.00,1461.00,1470.00,1498.00,97800
