Date,Open,High,Low,Close,Adj Close,Volume
20010331,2489.00,2489.00,2489.00,2489.00,2489.00,775
20010403,2450.00,2450.00,2450.00,2450.00,2450.00,2188
20010408,2451.00,2451.00,2451.00,2451.00,2451.00,7055
20010410,2450.00,2450.00,2450.00,2450.00,2450.00,570
20010411,2499.00,2500.00,2499.00,2500.00,2500.00,7436
20010414,2499.00,2500.00,2499.00,2499.00,2499.00,2606
20010417,2497.00,2500.00,2497.00,2500.00,2500.00,4036
20010418,2504.00,2504.00,2504.00,2504.00,2504.00,788
20010421,2505.00,2508.00,2505.00,2508.00,2508.00,5936
20010422,2511.00,2511.00,2511.00,2511.00,2511.00,271
20010423,2513.00,2513.00,2513.00,2513.00,2513.00,2000
20010425,2531.00,2533.00,2531.00,2533.00,2533.00,1894
20010428,2534.00,2570.00,2534.00,2570.00,2570.00,2000
20010430,2590.00,2590.00,2590.00,2590.00,2590.00,7944
20010501,2600.00,2650.00,2600.00,2650.00,2650.00,3940
20010502,2650.00,2650.00,2650.00,2650.00,2650.00,616
20010505,2700.00,2700.00,2700.00,2700.00,2700.00,1852
20010507,2800.00,2800.00,2800.00,2800.00,2800.00,5000
20010508,2800.00,2800.00,2800.00,2800.00,2800.00,7182
20010509,2800.00,2800.00,2800.00,2800.00,2800.00,3818
20010512,2800.00,2800.00,2800.00,2800.00,2800.00,920
20010515,2700.00,2700.00,2700.00,2700.00,2700.00,4000
20010617,2600.00,2688.00,2600.00,2688.00,2688.00,6750
20010618,2600.00,2600.00,2600.00,2600.00,2600.00,7000
20010619,2550.00,2600.00,2470.00,2600.00,2600.00,26241
20010623,2599.00,2600.00,2599.00,2600.00,2600.00,10000
20010624,2598.00,2598.00,2598.00,2598.00,2598.00,1527
20010627,2596.00,2596.00,2530.00,2530.00,2530.00,2162
20010708,2487.00,2595.00,2487.00,2594.00,2594.00,20000
20010714,2559.00,2559.00,2548.00,2548.00,2548.00,1400
20010819,2340.00,2340.00,2340.00,2340.00,2340.00,818
20010821,2340.00,2340.00,2340.00,2340.00,2340.00,400
20010829,2334.00,2334.00,2334.00,2334.00,2334.00,700
20010902,2300.00,2300.00,2300.00,2300.00,2300.00,1000
20010910,2289.00,2290.00,2289.00,2290.00,2290.00,519
20010911,2290.00,2290.00,2290.00,2290.00,2290.00,922
