Date,Open,High,Low,Close,Adj Close,Volume
20200128,14000.00,14000.00,14000.00,14000.00,14000.00,59926728
20200201,14700.00,14700.00,14700.00,14700.00,14700.00,129187
20200202,15435.00,15435.00,15435.00,15435.00,15435.00,45103
20200203,16206.00,16206.00,16206.00,16206.00,16206.00,61665
20200204,17016.00,17016.00,17016.00,17016.00,17016.00,96634
20200205,17866.00,17866.00,17866.00,17866.00,17866.00,96692
20200208,18759.00,18759.00,18759.00,18759.00,18759.00,99669
20200209,19696.00,19696.00,19696.00,19696.00,19696.00,105281
20200210,20680.00,20680.00,20680.00,20680.00,20680.00,172848
20200212,21714.00,21714.00,21714.00,21714.00,21714.00,26374
20200216,22799.00,23938.00,22799.00,23938.00,23927.00,5781644
20200217,25123.00,25123.00,25123.00,25123.00,25123.00,1588367
20200218,26379.00,26379.00,26379.00,26379.00,26379.00,234712
20200219,27697.00,27697.00,27697.00,27697.00,27697.00,414222
20200222,29081.00,29081.00,29081.00,29081.00,29081.00,15650243
20200223,30535.00,30535.00,30535.00,30535.00,30535.00,186764
20200224,32061.00,32061.00,32061.00,32061.00,32061.00,30571319
20200225,33664.00,33664.00,33664.00,33664.00,33664.00,5457535
20200226,35347.00,35347.00,35347.00,35347.00,35347.00,16263704
20200229,37114.00,37114.00,35401.00,36900.00,37069.00,22067539
20200302,38922.00,40868.00,38922.00,40868.00,39628.00,16097783
20200303,41609.00,43689.00,41609.00,43689.00,43442.00,2112390
20200304,45614.00,45614.00,44900.00,45614.00,45609.00,34576702
20200307,45632.00,47913.00,43351.00,47913.00,47675.00,29015600
20200309,45292.00,45292.00,45292.00,45292.00,45292.00,4394667
20200310,43028.00,43028.00,43028.00,43028.00,43028.00,1978700
20200311,41630.00,45179.00,40877.00,40877.00,41995.00,22758859
20200314,39896.00,39896.00,39896.00,39896.00,41052.00,534689
20200315,39000.00,39000.00,39000.00,39000.00,40379.00,390533
20200316,40400.00,41500.00,38361.00,38990.00,39311.00,29482568
20200317,39312.00,39990.00,37346.00,37346.00,38092.00,5317114
20200318,37037.00,37215.00,36188.00,36188.00,36380.00,9026350
20200324,36700.00,38199.00,34563.00,38199.00,36895.00,22945055
20200325,38739.00,38739.00,38739.00,38739.00,38739.00,1457805
20200328,40675.00,40675.00,39000.00,40675.00,40476.00,14958595
20200329,41300.00,42499.00,40000.00,40440.00,41468.00,18200877
20200330,39739.00,40999.00,39395.00,39550.00,39710.00,16115017
20200404,39797.00,41000.00,38800.00,38920.00,39731.00,13960247
20200405,38325.00,38450.00,37745.00,37745.00,37885.00,8973895
20200406,36804.00,37885.00,35991.00,36955.00,36660.00,19760767
20200407,37889.00,38493.00,37500.00,38493.00,38396.00,8988640
20200408,39480.00,40250.00,38123.00,38600.00,39371.00,10890105
20200411,38500.00,40029.00,38011.00,38890.00,39095.00,9124713
20200412,38994.00,40800.00,38994.00,40185.00,40229.00,12094564
20200413,41000.00,42000.00,39900.00,39960.00,40569.00,9774802
20200414,39500.00,39500.00,38541.00,38541.00,38654.00,8918148
20200415,38200.00,40000.00,37600.00,39040.00,39059.00,8844156
20200418,40336.00,40980.00,39445.00,40979.00,40534.00,12589199
20200419,41780.00,41780.00,38600.00,39281.00,40396.00,14322491
20200420,39648.00,41379.00,38999.00,40436.00,40669.00,11547211
20200421,40301.00,42702.00,40301.00,42702.00,42247.00,15343344
20200422,43597.00,44359.00,42702.00,44359.00,44144.00,8929422
20200425,46351.00,48668.00,46351.00,48668.00,48477.00,8571314
20200426,50900.00,50900.00,46054.00,49300.00,48599.00,28178497
20200427,48999.00,50100.00,47000.00,48150.00,48742.00,11548873
20200428,47710.00,49822.00,47710.00,49199.00,49319.00,11219183
20200429,50750.00,51784.00,50000.00,51784.00,51405.00,9377157
20200502,53975.00,53975.00,53975.00,53975.00,53975.00,4191742
20200503,56673.00,56673.00,53976.00,55000.00,56468.00,7829597
20200504,53800.00,58000.00,53645.00,54404.00,55000.00,20242674
20200505,55899.00,57497.00,52250.00,52250.00,53305.00,12520655
20200506,50640.00,53000.00,50640.00,50690.00,51087.00,15746249
20200509,53000.00,53641.00,52000.00,53641.00,53486.00,4305041
20200510,56160.00,56160.00,51000.00,56160.00,55448.00,13864380
20200511,57299.00,57299.00,52676.00,52676.00,53973.00,9418679
20200512,51350.00,53800.00,51275.00,51275.00,51541.00,3715705
20200517,49230.00,49230.00,46769.00,46769.00,47232.00,1892368
20200518,47600.00,49593.00,47302.00,49593.00,49117.00,10724876
20200519,50800.00,50990.00,47000.00,47653.00,48827.00,6975462
20200520,48997.00,48997.00,46386.00,46386.00,46644.00,6023680
20200523,44907.00,47154.00,44312.00,44700.00,44998.00,6655307
20200526,43300.00,44888.00,42749.00,42749.00,43065.00,2677629
20200527,45218.00,47478.00,45218.00,45848.00,45717.00,4952139
20200530,47351.00,48002.00,45783.00,48002.00,47270.00,7469354
20200531,48470.00,48470.00,44907.00,45009.00,46183.00,5659796
20200601,45029.00,48492.00,45029.00,48492.00,47926.00,9630817
20200602,50322.00,50322.00,50322.00,50322.00,50322.00,3988826
20200606,52838.00,52838.00,51003.00,52838.00,52793.00,7976645
20200607,55000.00,55432.00,53000.00,53899.00,54891.00,11067747
20200608,52153.00,54300.00,52147.00,52147.00,52636.00,7859321
20200609,51300.00,53000.00,50005.00,50005.00,50649.00,7205202
20200610,49910.00,52490.00,49910.00,50695.00,50971.00,9290400
20200613,53000.00,53000.00,50999.00,51400.00,51543.00,9600968
20200614,51543.00,51980.00,48966.00,50499.00,50087.00,9844183
20200615,50200.00,52591.00,50200.00,52591.00,52438.00,9876324
20200616,55059.00,55059.00,55059.00,55059.00,55059.00,4982381
20200620,57811.00,57811.00,57487.00,57811.00,57810.00,7398117
20200621,59610.00,60700.00,55941.00,60700.00,59348.00,12053792
20200622,61900.00,62315.00,58000.00,60315.00,61507.00,9311733
20200623,61406.00,64500.00,58710.00,60002.00,62404.00,17194379
20200624,59284.00,62399.00,59284.00,60092.00,60412.00,10017791
20200627,60265.00,63432.00,60265.00,63432.00,63114.00,7670181
20200628,65200.00,65200.00,59959.00,59959.00,61145.00,13128933
20200629,58088.00,62000.00,58088.00,58375.00,58648.00,10745999
20200630,59000.00,61580.00,59000.00,61580.00,61403.00,6107031
