Date,Open,High,Low,Close,Adj Close,Volume
20070204,4000.00,4000.00,3600.00,3704.00,3704.00,172898994
20070205,3778.00,3778.00,3778.00,3778.00,3778.00,10826496
20070206,3853.00,3853.00,3853.00,3853.00,3853.00,26850133
20070207,3930.00,3930.00,3930.00,3930.00,3930.00,31086849
20070210,4008.00,4008.00,4008.00,4008.00,4008.00,40645528
20070212,4088.00,4088.00,4012.00,4012.00,4012.00,215513
20070213,4092.00,4092.00,4092.00,4092.00,4092.00,5110524
20070214,4173.00,4173.00,4173.00,4173.00,4173.00,5103628
20070217,4256.00,4256.00,4141.00,4235.00,4235.00,35308907
20070218,4240.00,4257.00,4151.00,4227.00,4227.00,14815582
20070219,4143.00,4216.00,4143.00,4216.00,4216.00,564225
20070220,4132.00,4191.00,4132.00,4191.00,4191.00,1354521
20070313,4189.00,4197.00,4040.00,4111.00,4111.00,1930522
20070314,4088.00,4120.00,1852.00,4093.00,4093.00,1160513315
20070317,4159.00,4165.00,4072.00,4100.00,4100.00,3663321
20070319,4112.00,4182.00,4112.00,4120.00,4120.00,1436849
20070325,4202.00,4202.00,4149.00,4149.00,4149.00,1629327
20070326,4231.00,4231.00,4149.00,4149.00,4149.00,27899
20070327,4231.00,4231.00,4149.00,4149.00,4149.00,26534
20070328,4231.00,4231.00,4151.00,4151.00,4151.00,131210
20070331,4234.00,4234.00,4156.00,4156.00,4156.00,294199
20070403,4239.00,4239.00,4158.00,4158.00,4158.00,117711
20070404,4241.00,4241.00,4163.00,4163.00,4163.00,260851
20070407,4246.00,4246.00,4169.00,4169.00,4169.00,326721
20070408,4252.00,4252.00,4177.00,4177.00,4177.00,437546
20070409,4260.00,4260.00,4183.00,4183.00,4183.00,320534
20070410,4266.00,4266.00,4188.00,4188.00,4188.00,285858
20070411,4271.00,4271.00,4192.00,4192.00,4192.00,215785
20070414,4275.00,4275.00,4197.00,4197.00,4197.00,259123
20070415,4280.00,4280.00,4200.00,4200.00,4200.00,150035
20070416,4284.00,4284.00,4202.00,4202.00,4202.00,102697
20070417,4286.00,4286.00,4204.00,4204.00,4204.00,120510
20070418,4288.00,4288.00,4211.00,4211.00,4211.00,393010
20070421,4295.00,4295.00,4217.00,4217.00,4217.00,344480
20070422,4301.00,4301.00,4223.00,4223.00,4223.00,341887
20070423,4307.00,4307.00,4229.00,4229.00,4229.00,306431
20070424,4313.00,4313.00,4233.00,4233.00,4233.00,206873
20070425,4317.00,4317.00,4317.00,4317.00,4317.00,10010000
20070428,4403.00,4403.00,4403.00,4403.00,4403.00,20019047
20070429,4491.00,4491.00,4491.00,4491.00,4491.00,20413178
20070430,4580.00,4580.00,4502.00,4576.00,4576.00,30863520
20070501,4576.00,4667.00,4512.00,4614.00,4614.00,5956891
20070502,4639.00,4706.00,4614.00,4700.00,4700.00,8963844
20070505,4794.00,4794.00,4760.00,4793.00,4793.00,20471440
20070506,4850.00,4888.00,4830.00,4887.00,4887.00,17198866
20070507,4984.00,4984.00,4984.00,4984.00,4984.00,15189031
20070508,5083.00,5083.00,5059.00,5059.00,5059.00,3525095
20070509,5160.00,5160.00,5153.00,5159.00,5159.00,11711229
20070512,5262.00,5262.00,5082.00,5221.00,5221.00,10598792
20070513,5279.00,5325.00,5250.00,5324.00,5324.00,7783711
20070514,5410.00,5430.00,5327.00,5414.00,5414.00,23316685
20070515,5321.00,5399.00,5306.00,5310.00,5310.00,9180877
20070516,5204.00,5310.00,5204.00,5213.00,5213.00,13605148
20070519,5109.00,5179.00,5109.00,5109.00,5109.00,4833707
20070520,5007.00,5100.00,5007.00,5013.00,5013.00,8104843
20070521,5100.00,5113.00,5000.00,5063.00,5063.00,3927632
20070522,5157.00,5164.00,5100.00,5118.00,5118.00,2563487
20070523,5118.00,5118.00,5016.00,5021.00,5021.00,5925264
20070526,5015.00,5015.00,4921.00,4933.00,4933.00,4086050
20070527,4841.00,5031.00,4841.00,4931.00,4931.00,3502315
20070528,5004.00,5029.00,4901.00,4945.00,4945.00,1263561
20070529,4990.00,5043.00,4985.00,4985.00,4985.00,2302219
20070530,5078.00,5084.00,2352.00,5081.00,5081.00,260336069
20070602,5182.00,5182.00,5132.00,5132.00,5132.00,2320172
20070624,4901.00,4990.00,4801.00,4862.00,4862.00,12985678
20070625,4900.00,4959.00,4877.00,4913.00,4913.00,5160953
20070626,4943.00,4947.00,4815.00,4818.00,4818.00,7269805
20070627,4751.00,4753.00,4722.00,4722.00,4722.00,6336469
20070630,4816.00,4816.00,4784.00,4784.00,4784.00,1531305
20070701,4879.00,4879.00,4842.00,4842.00,4842.00,1416466
20070702,4938.00,4938.00,4896.00,4896.00,4896.00,1308007
20070703,4993.00,4993.00,4958.00,4958.00,4958.00,1490290
20070704,5057.00,5057.00,5017.00,5017.00,5017.00,1385090
20070707,5117.00,5117.00,5074.00,5074.00,5074.00,1320646
20070708,5175.00,5175.00,5154.00,5154.00,5154.00,1841953
20070709,5257.00,5257.00,5254.00,5254.00,5254.00,2253974
20070710,5359.00,5359.00,5345.00,5345.00,5345.00,2012713
20070711,5451.00,5451.00,5451.00,5451.00,5451.00,3066667
20070714,5560.00,5560.00,5560.00,5560.00,5560.00,5956560
20070715,5671.00,5671.00,5449.00,5550.00,5550.00,18748194
20070716,5639.00,5661.00,5507.00,5645.00,5645.00,16515576
20070717,5644.00,5757.00,5637.00,5700.00,5700.00,6804080
20070718,5720.00,5777.00,5638.00,5692.00,5692.00,2769881
20070721,5805.00,5805.00,5753.00,5804.00,5804.00,12489496
20070722,5887.00,5920.00,5869.00,5919.00,5919.00,13698633
20070723,6037.00,6037.00,6037.00,6037.00,6037.00,5718432
20070724,6157.00,6157.00,6081.00,6149.00,6149.00,16211810
20070725,6210.00,6271.00,6152.00,6227.00,6227.00,4405659
20070729,6318.00,6351.00,6261.00,6337.00,6337.00,5060601
20070730,6463.00,6463.00,6442.00,6442.00,6442.00,1937322
20070731,6570.00,6570.00,6447.00,6447.00,6447.00,91536
20070801,6575.00,6575.00,6451.00,6451.00,6451.00,72695
20070804,6580.00,6580.00,6580.00,6580.00,6580.00,5000376
20070805,6711.00,6711.00,6594.00,6594.00,6594.00,255509
20070806,6725.00,6725.00,6609.00,6609.00,6609.00,263946
20070807,6741.00,6741.00,6618.00,6618.00,6618.00,161001
20070808,6750.00,6750.00,6623.00,6623.00,6623.00,92565
20070812,6755.00,6755.00,6662.00,6662.00,6662.00,690607
20070813,6795.00,6795.00,6674.00,6674.00,6674.00,203340
20070814,6807.00,6807.00,6757.00,6757.00,6757.00,1442217
20070815,6892.00,6892.00,6800.00,6800.00,6800.00,739150
20070818,6664.00,6899.00,6664.00,6669.00,6669.00,33237694
20070819,6802.00,6802.00,6701.00,6795.00,6795.00,2663545
20070820,6930.00,6930.00,6930.00,6930.00,6930.00,2319976
20070821,7068.00,7068.00,6950.00,7065.00,7065.00,17026529
20070822,7188.00,7200.00,7065.00,7106.00,7106.00,5475948
20070825,7248.00,7248.00,7180.00,7235.00,7235.00,9822389
20070826,7235.00,7235.00,7110.00,7175.00,7175.00,6285017
20070827,7185.00,7198.00,7032.00,7106.00,7106.00,4878543
20070828,7194.00,7248.00,7151.00,7243.00,7243.00,4311947
20070901,7387.00,7387.00,7256.00,7256.00,7256.00,210465
20070902,7401.00,7401.00,7282.00,7282.00,7282.00,410902
20070903,7427.00,7427.00,7330.00,7330.00,7330.00,771658
20070904,7476.00,7476.00,7342.00,7342.00,7342.00,193221
20070905,7488.00,7488.00,7488.00,7488.00,7488.00,4601214
20070908,7637.00,7637.00,7637.00,7637.00,7637.00,4133078
20070910,8699.00,8884.00,8305.00,8679.00,8679.00,18996600
20070911,8852.00,8852.00,8564.00,8774.00,8774.00,12136549
20070912,8774.00,8774.00,8599.00,8607.00,8607.00,42004798
20070915,8435.00,8500.00,8435.00,8435.00,8435.00,5492458
20070916,8267.00,8431.00,8267.00,8431.00,8431.00,50487
20070917,8263.00,8430.00,8263.00,8430.00,8430.00,10002
20070918,8262.00,8424.00,8262.00,8424.00,8424.00,83854
20070919,8256.00,8256.00,8256.00,8256.00,8256.00,3880835
20070922,8421.00,8592.00,8292.00,8417.00,8417.00,18698104
20070923,8577.00,8580.00,8418.00,8514.00,8514.00,3992597
20070924,8520.00,8549.00,8410.00,8474.00,8474.00,3106901
20070925,8473.00,8643.00,8462.00,8626.00,8626.00,6090087
20070926,8625.00,8626.00,8454.00,8564.00,8564.00,1080247
20070929,8728.00,8734.00,8430.00,8601.00,8601.00,3153123
20070930,8558.00,8600.00,8429.00,8504.00,8504.00,1425925
20071001,8429.00,8599.00,8401.00,8520.00,8520.00,7164199
20071002,8687.00,8690.00,8565.00,8682.00,8682.00,5159046
20071006,8850.00,8855.00,8782.00,8854.00,8854.00,2858322
20071007,9031.00,9031.00,8971.00,9030.00,9030.00,4270906
20071008,9209.00,9210.00,8971.00,9172.00,9172.00,7900502
20071009,9172.00,9244.00,8989.00,9072.00,9072.00,2548628
20071010,9159.00,9253.00,9130.00,9236.00,9236.00,5788900
20071014,9295.00,9399.00,9067.00,9229.00,9229.00,2253789
20071015,9080.00,9183.00,9045.00,9183.00,9183.00,581503
20071016,9150.00,9200.00,9000.00,9077.00,9077.00,4452505
20071017,9049.00,9138.00,8899.00,9022.00,9022.00,2516996
20071020,9023.00,9080.00,8842.00,8871.00,8871.00,2388259
20071021,8694.00,8999.00,8694.00,8732.00,8732.00,4862053
20071022,8906.00,8906.00,8650.00,8764.00,8764.00,1747243
20071023,8770.00,8800.00,8589.00,8635.00,8635.00,1956979
20071024,8793.00,8797.00,8552.00,8658.00,8658.00,2546917
20071027,8604.00,8658.00,8485.00,8501.00,8501.00,2656670
20071028,8442.00,8774.00,8331.00,8420.00,8420.00,1159104552
20071029,8252.00,8469.00,8252.00,8266.00,8266.00,6143965
20071030,8240.00,8431.00,8140.00,8356.00,8356.00,2691694
20071031,8496.00,8499.00,8189.00,8281.00,8281.00,2287460
20071103,8116.00,8208.00,8116.00,8208.00,8208.00,1026263
20071104,8044.00,8066.00,8044.00,8066.00,8066.00,2003942
20071105,7905.00,8060.00,7905.00,8060.00,8060.00,79754
20071107,7899.00,8055.00,7899.00,8055.00,8055.00,64882
20071110,7894.00,8051.00,7894.00,8051.00,8051.00,55326
20071111,7890.00,8048.00,7890.00,8048.00,8048.00,47780
20071112,7888.00,8045.00,7888.00,8045.00,8045.00,50475
20071113,7885.00,8041.00,7885.00,8041.00,8041.00,57319
20071126,7881.00,8041.00,7881.00,8041.00,8041.00,564
20071127,7881.00,8041.00,7881.00,8041.00,8041.00,1020
20071128,7881.00,8041.00,7881.00,8041.00,8041.00,536
20071201,7881.00,8041.00,7881.00,8041.00,8041.00,70
20071202,7881.00,7881.00,7881.00,7881.00,7881.00,182
20071203,7724.00,7724.00,7724.00,7724.00,7724.00,79000
20071205,7570.00,7570.00,7570.00,7570.00,7570.00,1172452
20071208,7419.00,7570.00,7419.00,7570.00,7570.00,6899
20071209,7419.00,7564.00,7419.00,7564.00,7564.00,91220
20071210,7413.00,7477.00,7413.00,7477.00,7477.00,1329590
20071211,7328.00,7477.00,7328.00,7477.00,7477.00,2264
20071215,7328.00,7477.00,7328.00,7477.00,7477.00,310
20071216,7328.00,7476.00,7328.00,7476.00,7476.00,11799
20071218,7327.00,7476.00,7327.00,7476.00,7476.00,558
20071222,7327.00,7476.00,7327.00,7476.00,7476.00,840
20071223,7327.00,7460.00,7327.00,7460.00,7460.00,250010
20071225,7311.00,7311.00,7311.00,7311.00,7311.00,1520
20071226,7165.00,7165.00,7165.00,7165.00,7165.00,1354
20071230,7022.00,7162.00,7022.00,7022.00,7022.00,17103153
20071231,6923.00,7000.00,6882.00,6891.00,6891.00,8218313
20080101,6877.00,6950.00,6831.00,6890.00,6890.00,1337029
20080102,6880.00,7027.00,6800.00,6982.00,6982.00,1811074
20080105,7121.00,7121.00,6987.00,7073.00,7073.00,1969849
20080106,6932.00,7029.00,6932.00,6933.00,6933.00,2833862
20080108,6850.00,7040.00,6850.00,6948.00,6948.00,965715
20080109,7086.00,7086.00,6966.00,6966.00,6966.00,299670
20080112,7105.00,7105.00,6968.00,6968.00,6968.00,25429
20080128,7600.00,8500.00,7311.00,7548.00,7548.00,15129662
20080129,7549.00,7549.00,7398.00,7400.00,7400.00,3496832
20080130,7399.00,7520.00,2931.00,7392.00,7392.00,2086161
20080202,7538.00,7539.00,7290.00,7443.00,7443.00,1911029
20080203,7295.00,7295.00,7295.00,7295.00,7295.00,2533389
20080204,7280.00,7301.00,7156.00,7217.00,7217.00,2133854
20080205,7221.00,7329.00,7183.00,7217.00,7217.00,592237
20080206,7217.00,7287.00,7073.00,7184.00,7184.00,925049
20080209,7327.00,7327.00,7202.00,7255.00,7255.00,1399052
20080210,7241.00,7250.00,7115.00,7248.00,7248.00,332007
20080212,7300.00,7349.00,7152.00,7243.00,7243.00,397370
20080213,7243.00,7387.00,7234.00,7255.00,7255.00,443096
20080216,7263.00,7300.00,7170.00,7249.00,7249.00,347821
