Date,Open,High,Low,Close,Adj Close,Volume
20190810,18500.00,18500.00,18500.00,18500.00,18500.00,67500000
20190811,19425.00,19425.00,19425.00,19425.00,19425.00,50218
20190813,20396.00,20396.00,20396.00,20396.00,20396.00,116927
20190814,21415.00,21415.00,21415.00,21415.00,21415.00,172796
20190817,22485.00,22485.00,22485.00,22485.00,22485.00,370377
20190818,23609.00,23609.00,23609.00,23609.00,23609.00,306691
20190819,24789.00,24789.00,24789.00,24789.00,24789.00,649965
20190821,26028.00,26028.00,26028.00,26028.00,26028.00,445991
20190824,27329.00,27329.00,27329.00,27329.00,27329.00,727602
20190825,28695.00,28695.00,28695.00,28695.00,28695.00,296759
20190827,30129.00,31635.00,30129.00,31635.00,31561.00,10242062
20190828,30600.00,31000.00,29983.00,30900.00,30677.00,5849215
20190831,30790.00,30790.00,30000.00,30650.00,30781.00,3206410
20190901,29250.00,29280.00,29242.00,29242.00,29249.00,6142297
20190902,28011.00,29000.00,27787.00,28440.00,28155.00,14777638
20190903,28399.00,29562.00,28300.00,29562.00,29373.00,3809656
20190904,30400.00,30841.00,30060.00,30841.00,30700.00,4009970
20190907,31600.00,32235.00,30700.00,32235.00,32064.00,10297017
20190908,32400.00,33433.00,31461.00,33000.00,32542.00,8139646
20190911,32700.00,33800.00,32393.00,32620.00,32807.00,3870778
20190914,32698.00,32954.00,31502.00,31795.00,32013.00,5475482
20190915,31350.00,31400.00,30421.00,30835.00,30878.00,4629295
20190916,30900.00,31500.00,30300.00,30499.00,30829.00,3807486
20190917,30200.00,30500.00,29800.00,29990.00,30095.00,2401983
20190918,29370.00,30000.00,28591.00,29480.00,28809.00,4186256
20190921,28889.00,30249.00,28889.00,30249.00,30174.00,2297301
20190922,31390.00,31682.00,31167.00,31682.00,31554.00,2085053
20190923,32800.00,32999.00,31801.00,32006.00,32440.00,3564147
20190924,32021.00,32091.00,30821.00,31505.00,31439.00,3786228
20190925,31200.00,31570.00,29999.00,31550.00,30894.00,3206499
20190928,32438.00,32438.00,32300.00,32438.00,32427.00,1828886
20190929,34048.00,34048.00,32600.00,34048.00,33951.00,6920655
20190930,34000.00,35648.00,34000.00,35648.00,35311.00,2397005
20191001,37076.00,37076.00,35400.00,36100.00,36831.00,6425571
20191002,36690.00,38000.00,34990.00,36480.00,36389.00,3667538
20191005,36349.00,37434.00,34570.00,34570.00,35593.00,3890482
20191006,33814.00,34998.00,33814.00,33814.00,33896.00,3611390
20191007,33300.00,35500.00,32222.00,32222.00,33671.00,2756980
20191008,32301.00,33036.00,31988.00,31988.00,32245.00,1642903
20191009,30633.00,31864.00,30633.00,31400.00,30754.00,4942991
20191012,31521.00,32291.00,31521.00,31990.00,31956.00,2547661
20191013,32290.00,33551.00,30910.00,31000.00,31950.00,1737041
20191014,31499.00,31499.00,30353.00,30353.00,30383.00,1042192
20191015,30000.00,30000.00,28864.00,28864.00,29174.00,779921
20191016,27716.00,28500.00,27716.00,27716.00,27800.00,2903899
20191020,27790.00,27790.00,26410.00,26410.00,26664.00,663310
20191021,25331.00,27000.00,25331.00,26662.00,25795.00,2400750
20191022,27041.00,27084.00,26000.00,27084.00,26991.00,2344374
20191023,27480.00,27945.00,26001.00,27245.00,26872.00,1045118
20191026,27299.00,27299.00,26001.00,26800.00,26780.00,840668
20191028,26790.00,28119.00,26775.00,28119.00,28034.00,1119143
20191030,28600.00,29435.00,28500.00,29435.00,29317.00,1559528
20191102,29000.00,29980.00,27859.00,28364.00,28631.00,1635250
20191103,28200.00,29110.00,27600.00,28005.00,28412.00,1147868
20191104,28000.00,28090.00,26992.00,27020.00,27173.00,1782533
20191105,26470.00,27500.00,26470.00,27000.00,26825.00,1311861
20191109,27004.00,27813.00,27004.00,27149.00,27389.00,996836
20191110,27180.00,27350.00,26225.00,26651.00,26600.00,933804
20191111,26501.00,27500.00,26339.00,27300.00,27259.00,870284
20191112,27490.00,28110.00,26411.00,27727.00,27590.00,905703
20191113,27727.00,28000.00,27264.00,27399.00,27527.00,836814
20191116,27201.00,27560.00,26811.00,27105.00,27225.00,852839
20191117,25910.00,26990.00,25864.00,25864.00,25949.00,1531021
20191118,24900.00,26980.00,24900.00,26356.00,26380.00,729823
20191119,26999.00,27000.00,26548.00,26748.00,26798.00,704440
20191120,27000.00,27198.00,26513.00,27100.00,26823.00,652395
20191123,27200.00,27390.00,26990.00,26999.00,27087.00,707589
20191124,27199.00,27199.00,26360.00,26980.00,26686.00,807690
20191125,26709.00,28020.00,26709.00,28020.00,27695.00,1343964
20191126,28800.00,29079.00,28210.00,29079.00,28791.00,2214927
20191127,29580.00,30219.00,28800.00,29500.00,29613.00,1419332
20191130,29500.00,30555.00,28801.00,30493.00,29855.00,1813501
20191201,30340.00,31050.00,30016.00,30201.00,30515.00,1112460
