Date,Open,High,Low,Close,Adj Close,Volume
20140319,10500.00,10500.00,10500.00,10500.00,10500.00,69977440
20140325,10920.00,10920.00,10920.00,10920.00,10606.00,141341
20140326,11030.00,11030.00,11030.00,11030.00,10659.00,70182
20140329,11085.00,11085.00,11085.00,11085.00,10850.00,250772
20140330,11284.00,11284.00,11284.00,11284.00,10915.00,84114
20140331,11351.00,11351.00,11351.00,11351.00,10999.00,107630
20140405,11438.00,11438.00,11438.00,11438.00,11105.00,134999
20140406,11549.00,11549.00,11549.00,11549.00,11259.00,194065
20140407,11709.00,11709.00,11709.00,11709.00,11432.00,215390
20140408,11889.00,11889.00,11889.00,11889.00,11520.00,107821
20140409,11980.00,11980.00,11980.00,11980.00,11602.00,100235
20140412,12066.00,12066.00,12066.00,12066.00,11806.00,246338
20140413,12278.00,12278.00,11806.00,12278.00,12253.00,30806989
20140414,12360.00,12690.00,12001.00,12400.00,12301.00,13501211
20140415,12630.00,12793.00,12450.00,12793.00,12753.00,12674536
20140416,13100.00,13263.00,12897.00,13050.00,13160.00,10088271
20140419,12900.00,12968.00,12634.00,12634.00,12678.00,2116318
20140420,12704.00,13100.00,12500.00,12600.00,12716.00,6743674
20140421,12700.00,12990.00,12370.00,12750.00,12659.00,7445206
20140422,12850.00,12990.00,12311.00,12399.00,12473.00,4556637
20140423,12229.00,12550.00,12229.00,12490.00,12420.00,2438322
20140426,12601.00,12916.00,12533.00,12916.00,12851.00,3314636
20140427,13099.00,13099.00,12370.00,12500.00,12652.00,4132487
20140428,12450.00,12610.00,12252.00,12320.00,12365.00,2308793
20140429,12389.00,12650.00,12161.00,12248.00,12378.00,2430374
20140430,12300.00,12520.00,12202.00,12260.00,12331.00,906214
20140503,12521.00,12530.00,12201.00,12216.00,12319.00,1620703
20140504,12200.00,12219.00,12100.00,12200.00,12142.00,1236526
20140505,12200.00,12400.00,12200.00,12250.00,12238.00,1052600
20140506,12300.00,12727.00,12300.00,12698.00,12600.00,6449382
20140519,12790.00,13000.00,12600.00,12703.00,12725.00,3266793
