Date,Open,High,Low,Close,Adj Close,Volume
20200509,140000.00,140000.00,140000.00,140000.00,140000.00,823382
20200510,142800.00,142800.00,142800.00,142800.00,142800.00,1011817
20200511,145656.00,145656.00,145656.00,145656.00,145656.00,486424
20200512,148569.00,148569.00,148569.00,148569.00,148569.00,6118248
20200513,154511.00,154511.00,154511.00,154511.00,154511.00,1264204
20200516,157601.00,157601.00,157601.00,157601.00,157601.00,474046
20200517,160753.00,160753.00,160753.00,160753.00,160753.00,261575
20200518,163968.00,163968.00,163968.00,163968.00,163968.00,569325
20200519,170526.00,170526.00,170526.00,170526.00,170526.00,328500
20200520,173936.00,173936.00,173936.00,173936.00,173936.00,469479
20200523,177414.00,177414.00,177144.00,177414.00,177413.00,13644021
20200526,173865.00,173865.00,173865.00,173865.00,173865.00,1412118
20200527,170388.00,170388.00,170388.00,170388.00,170388.00,691715
20200530,166981.00,166981.00,166981.00,166981.00,166981.00,913206
20200531,160302.00,160302.00,160302.00,160302.00,160302.00,494572
20200601,157096.00,157096.00,157096.00,157096.00,157096.00,244439
20200602,153955.00,153955.00,153955.00,153955.00,153955.00,583790
20200606,157034.00,157034.00,157034.00,157034.00,157034.00,2907040
20200607,160174.00,160174.00,160174.00,160174.00,160174.00,1438056
20200608,156971.00,163377.00,156971.00,157999.00,160524.00,7879494
20200609,157331.00,162999.00,157314.00,157900.00,159042.00,2616660
20200610,159050.00,160000.00,155862.00,155862.00,156664.00,1812351
20200613,153531.00,153531.00,153531.00,153531.00,153531.00,1196277
20200614,150461.00,150461.00,150461.00,150461.00,150461.00,470524
20200615,144443.00,156479.00,144443.00,156479.00,151848.00,9871551
20200616,154884.00,154884.00,154884.00,154884.00,154884.00,1112871
20200620,157981.00,157981.00,157981.00,157981.00,157981.00,1220317
20200621,161140.00,161140.00,157981.00,161140.00,161015.00,4068697
20200622,164960.00,167455.00,159000.00,167455.00,165981.00,4523049
20200623,169300.00,169300.00,164500.00,168900.00,169089.00,2090946
20200624,165708.00,172450.00,165708.00,167000.00,167973.00,3358885
20200627,165900.00,166500.00,164614.00,164614.00,164966.00,2484333
20200628,161667.00,161667.00,161667.00,161667.00,161667.00,483453
20200629,158434.00,158434.00,158434.00,158434.00,158434.00,535482
20200630,153000.00,164000.00,153000.00,160001.00,157972.00,7640242
20200701,161131.00,161131.00,159500.00,161131.00,161044.00,3184177
20200704,164264.00,164264.00,162000.00,164264.00,164228.00,6411191
20200705,167512.00,167512.00,167512.00,167512.00,167512.00,1199163
20200706,174212.00,174212.00,174212.00,174212.00,174212.00,1317078
20200707,177696.00,177696.00,177696.00,177696.00,177696.00,1035294
20200708,181249.00,181249.00,179000.00,181249.00,181201.00,9021704
20200711,184825.00,184825.00,184825.00,184825.00,184825.00,2867601
20200712,192218.00,192218.00,192218.00,192218.00,192218.00,1213790
20200713,196062.00,196062.00,196062.00,196062.00,196062.00,1633665
20200714,199983.00,199983.00,199983.00,199983.00,199983.00,565108
20200715,203982.00,203982.00,203982.00,203982.00,203982.00,467283
20200718,212141.00,212141.00,212141.00,212141.00,212141.00,1667135
20200719,216383.00,216383.00,216383.00,216383.00,216383.00,1002302
20200720,220710.00,220710.00,220710.00,220710.00,220710.00,457734
20200721,225124.00,225124.00,225124.00,225124.00,225124.00,568491
20200722,234128.00,234128.00,234128.00,234128.00,234128.00,612203
20200725,238810.00,238810.00,238810.00,238810.00,238810.00,370856
20200726,243586.00,243586.00,243586.00,243586.00,243586.00,299586
20200727,248457.00,248457.00,248457.00,248457.00,248457.00,346713
20200728,258395.00,258395.00,258395.00,258395.00,258395.00,454282
20200729,263562.00,263562.00,263562.00,263562.00,263562.00,501863
20200801,268833.00,268833.00,268833.00,268833.00,268833.00,465339
20200802,274209.00,274209.00,274209.00,274209.00,274209.00,384138
20200804,285177.00,285177.00,285177.00,285177.00,285177.00,762483
20200805,290880.00,290880.00,279474.00,290880.00,288358.00,16663759
20200809,294125.00,294125.00,287558.00,287700.00,293582.00,9451007
20200810,287711.00,287711.00,287711.00,287711.00,287711.00,1042625
20200811,281957.00,281957.00,281957.00,281957.00,281957.00,397472
20200812,276318.00,276318.00,276318.00,276318.00,276318.00,816911
20200815,265266.00,265266.00,265266.00,265266.00,265266.00,811252
20200816,259961.00,259961.00,259961.00,259961.00,259961.00,254574
20200817,254762.00,254762.00,254762.00,254762.00,254762.00,426859
20200818,249670.00,259857.00,249667.00,249667.00,253850.00,10357519
20200819,248773.00,249550.00,248773.00,248773.00,248775.00,861667
